work_id,mp_name,district,block,village,category,description,sanctioned_cost_lakh,sanction_year,status,is_seeded_duplicate,duplicate_of
MPLAD-2019-100672,MP_07,Hooghly,Karimpur-II,Dhantala,Water,"Construction of overhead water reservoir of 5000 litre capacity at Dhantala under MPLADS, Ward No. 20, Karimpur-II block, Hooghly district",16.57,2019,Ongoing,False,
MPLAD-2020-101163,MP_23,Bardhaman,Santipur,Dhantala,Education,"Construction of additional classroom block at Dhantala Primary School under MPLADS, Ward No. 17, Santipur block, Bardhaman district",12.62,2020,Completed,False,
MPLAD-2025-101112,MP_22,Murshidabad,Karimpur-II,Bhatjangla,Water,"Construction of overhead water reservoir of 8000 litre capacity at Bhatjangla under MPLADS, Ward No. 11, Karimpur-II block, Murshidabad district",11.9,2025,Ongoing,False,
MPLAD-2021-101052,MP_36,Hooghly,Haringhata,Nokari,Health,"Construction of waiting shed at Nokari Sub-Centre under MPLADS, Ward No. 23, Haringhata block, Hooghly district",41.76,2021,Completed,False,
MPLAD-2021-100198,MP_37,Malda,Nakashipara,Dhantala,Water,"Construction of overhead water reservoir of 4000 litre capacity at Dhantala under MPLADS, Ward No. 13, Nakashipara block, Malda district",37.93,2021,Completed,False,
MPLAD-2021-101031,MP_08,Malda,Hanskhali,Dhantala,Sports,"Development of playground with boundary fencing at Dhantala under MPLADS, Ward No. 5, Hanskhali block, Malda district",24.28,2021,Completed,False,
MPLAD-2023-100914,MP_01,Purulia,Nakashipara,Debagram,Road,"Construction of 415 m concrete road from Rautari to Nokari at Debagram under MPLADS, Ward No. 22, Nakashipara block, Purulia district",24.32,2023,Completed,False,
MPLAD-2024-100208,MP_31,Bardhaman,Krishnanagar-II,Mamjoan,Health,"Supply of ambulance to Krishnanagar-II Rural Hospital under MPLADS under MPLADS, Ward No. 15, Krishnanagar-II block, Bardhaman district",25.01,2024,Completed,False,
MPLAD-2019-100560,MP_09,Bardhaman,Karimpur-II,Muragachha,Health,"Supply of ambulance to Karimpur-II Rural Hospital under MPLADS under MPLADS, Ward No. 5, Karimpur-II block, Bardhaman district",25.86,2019,Completed,False,
MPLAD-2023-101138,MP_25,Purulia,Nakashipara,Debagram,Electrification,"Providing LED high mast lighting at Debagram market area under MPLADS, Ward No. 20, Nakashipara block, Purulia district",8.03,2023,Completed,False,
MPLAD-2019-101078,MP_35,Purulia,Chakdaha,Bahirgachi,Health,"Supply of ambulance to Chakdaha Rural Hospital under MPLADS under MPLADS, Ward No. 7, Chakdaha block, Purulia district",30.7,2019,Completed,False,
MPLAD-2022-100528,MP_35,Bardhaman,Nakashipara,Bahirgachi,Education,"Construction of additional classroom block at Bahirgachi Primary School under MPLADS, Ward No. 12, Nakashipara block, Bardhaman district",12.12,2022,Completed,False,
MPLAD-2021-100023,MP_15,Howrah,Hanskhali,Rautari,Electrification,"Installation of 2 solar street lights at Rautari, Hanskhali under MPLADS, Ward No. 6, Hanskhali block, Howrah district",37.6,2021,Ongoing,False,
MPLAD-2023-100991,MP_20,Purulia,Tehatta-I,Nokari,Sports,"Development of playground with boundary fencing at Nokari under MPLADS, Ward No. 21, Tehatta-I block, Purulia district",25.36,2023,Completed,False,
MPLAD-DUP-200073,MP_38,Nadia,Nakashipara,Mamjoan,Community,"Renovation of crematorium boundary wall at Mamjoan under MPLADS, Ward No. 13, Nakashipara block, Nadia district",44.77,2025,Completed,True,MPLAD-2025-100608
MPLAD-2020-100666,MP_32,Bankura,Haringhata,Nokari,Health,"Construction of waiting shed at Nokari Sub-Centre under MPLADS, Ward No. 11, Haringhata block, Bankura district",16.3,2020,Ongoing,False,
MPLAD-2021-100051,MP_05,Malda,Nakashipara,Barasat,Sports,"Development of playground with boundary fencing at Barasat under MPLADS, Ward No. 6, Nakashipara block, Malda district",6.59,2021,Completed,False,
MPLAD-2024-100621,MP_03,Jalpaiguri,Kaliganj,Barasat,Health,"Construction of waiting shed at Barasat Sub-Centre under MPLADS, Ward No. 11, Kaliganj block, Jalpaiguri district",30.03,2024,Completed,False,
MPLAD-2020-100043,MP_19,Hooghly,Karimpur-II,Jaguli,Community,"Construction of community hall with toilet block at Jaguli under MPLADS, Ward No. 8, Karimpur-II block, Hooghly district",18.25,2020,Ongoing,False,
MPLAD-2019-100196,MP_26,Bankura,Chakdaha,Debagram,Water,"Installation of 2 deep tube wells with submersible pump at Debagram under MPLADS, Ward No. 10, Chakdaha block, Bankura district",39.41,2019,Ongoing,False,
MPLAD-2022-101172,MP_25,Murshidabad,Hanskhali,Panchberia,Sports,"Development of playground with boundary fencing at Panchberia under MPLADS, Ward No. 18, Hanskhali block, Murshidabad district",43.3,2022,Completed,False,
MPLAD-2025-100811,MP_15,Purulia,Chakdaha,Kalinagar,Irrigation,"Re-excavation of village pond for irrigation at Kalinagar under MPLADS, Ward No. 10, Chakdaha block, Purulia district",9.04,2025,Completed,False,
MPLAD-2021-100184,MP_22,Bankura,Hanskhali,Jaguli,Education,"Construction of additional classroom block at Jaguli Primary School under MPLADS, Ward No. 10, Hanskhali block, Bankura district",15.45,2021,Completed,False,
MPLAD-2025-100825,MP_04,Nadia,Tehatta-I,Subarnapur,Education,"Supply of benches and desks to Subarnapur High School under MPLADS under MPLADS, Ward No. 17, Tehatta-I block, Nadia district",44.81,2025,Sanctioned,False,
MPLAD-2023-100809,MP_35,Hooghly,Ranaghat-I,Rautari,Road,"Improvement and metalling of village approach road at Rautari, Ranaghat-I under MPLADS, Ward No. 24, Ranaghat-I block, Hooghly district",30.09,2023,Ongoing,False,
MPLAD-2022-100367,MP_33,Howrah,Santipur,Bahirgachi,Road,"Improvement and metalling of village approach road at Bahirgachi, Santipur under MPLADS, Ward No. 16, Santipur block, Howrah district",25.22,2022,Completed,False,
MPLAD-2025-100643,MP_16,Bankura,Kaliganj,Aistala,Electrification,"Providing LED high mast lighting at Aistala market area under MPLADS, Ward No. 19, Kaliganj block, Bankura district",19.41,2025,Completed,False,
MPLAD-2019-100777,MP_29,Hooghly,Ranaghat-I,Nokari,Community,"Construction of community hall with toilet block at Nokari under MPLADS, Ward No. 10, Ranaghat-I block, Hooghly district",43.28,2019,Completed,False,
MPLAD-2020-101128,MP_14,Purulia,Haringhata,Nokari,Health,"Construction of waiting shed at Nokari Sub-Centre under MPLADS, Ward No. 19, Haringhata block, Purulia district",28.63,2020,Sanctioned,False,
MPLAD-2021-100261,MP_38,Bankura,Nakashipara,Muragachha,Electrification,"Providing LED high mast lighting at Muragachha market area under MPLADS, Ward No. 9, Nakashipara block, Bankura district",21.1,2021,Completed,False,
MPLAD-2020-100533,MP_39,Howrah,Krishnanagar-II,Jaguli,Water,"Construction of overhead water reservoir of 8000 litre capacity at Jaguli under MPLADS, Ward No. 16, Krishnanagar-II block, Howrah district",12.59,2020,Ongoing,False,
MPLAD-2019-100924,MP_39,Howrah,Kaliganj,Debagram,Electrification,"Installation of 1 solar street lights at Debagram, Kaliganj under MPLADS, Ward No. 20, Kaliganj block, Howrah district",26.23,2019,Completed,False,
MPLAD-2019-100945,MP_11,Hooghly,Santipur,Mamjoan,Electrification,"Providing LED high mast lighting at Mamjoan market area under MPLADS, Ward No. 5, Santipur block, Hooghly district",36.67,2019,Completed,False,
MPLAD-2020-101107,MP_34,Jalpaiguri,Krishnanagar-II,Debagram,Sanitation,"Construction of 2 community sanitary complex at Debagram under MPLADS, Ward No. 20, Krishnanagar-II block, Jalpaiguri district",19.97,2020,Sanctioned,False,
MPLAD-2025-101091,MP_36,Howrah,Nakashipara,Jaguli,Community,"Construction of community hall with toilet block at Jaguli under MPLADS, Ward No. 12, Nakashipara block, Howrah district",15.73,2025,Ongoing,False,
MPLAD-2022-100486,MP_21,Purulia,Krishnanagar-II,Muragachha,Health,"Construction of waiting shed at Muragachha Sub-Centre under MPLADS, Ward No. 2, Krishnanagar-II block, Purulia district",12.45,2022,Completed,False,
MPLAD-2020-100855,MP_19,Murshidabad,Nakashipara,Bahirgachi,Electrification,"Providing LED high mast lighting at Bahirgachi market area under MPLADS, Ward No. 10, Nakashipara block, Murshidabad district",6.21,2020,Ongoing,False,
MPLAD-2023-100970,MP_25,Murshidabad,Kaliganj,Dhantala,Education,"Supply of benches and desks to Dhantala High School under MPLADS under MPLADS, Ward No. 2, Kaliganj block, Murshidabad district",25.67,2023,Ongoing,False,
MPLAD-2025-100433,MP_28,Nadia,Santipur,Rautari,Education,"Supply of benches and desks to Rautari High School under MPLADS under MPLADS, Ward No. 10, Santipur block, Nadia district",28.37,2025,Completed,False,
MPLAD-2024-101006,MP_15,Nadia,Krishnanagar-II,Rautari,Health,"Construction of waiting shed at Rautari Sub-Centre under MPLADS, Ward No. 3, Krishnanagar-II block, Nadia district",15.67,2024,Completed,False,
MPLAD-2024-100838,MP_25,Jalpaiguri,Krishnanagar-II,Subarnapur,Education,"Supply of benches and desks to Subarnapur High School under MPLADS under MPLADS, Ward No. 3, Krishnanagar-II block, Jalpaiguri district",14.09,2024,Completed,False,
MPLAD-2023-100032,MP_25,Bardhaman,Hanskhali,Muragachha,Health,"Supply of ambulance to Hanskhali Rural Hospital under MPLADS under MPLADS, Ward No. 12, Hanskhali block, Bardhaman district",6.11,2023,Completed,False,
MPLAD-2019-100721,MP_17,Jalpaiguri,Hanskhali,Fatepur,Community,"Renovation of crematorium boundary wall at Fatepur under MPLADS, Ward No. 16, Hanskhali block, Jalpaiguri district",25.8,2019,Completed,False,
MPLAD-DUP-200075,MP_38,Jalpaiguri,Santipur,Mamjoan,Road,"Upgradation and black-topping of village approach road at Mamjoan, Santipur under MPLADS, Ward No. 10, Santipur block, Jalpaiguri district",39.02,2023,Completed,True,MPLAD-2022-100906
MPLAD-2021-100618,MP_04,Nadia,Ranaghat-I,Kalinagar,Education,"Construction of additional classroom block at Kalinagar Primary School under MPLADS, Ward No. 10, Ranaghat-I block, Nadia district",42.38,2021,Completed,False,
MPLAD-2023-100081,MP_33,Nadia,Kaliganj,Panchberia,Electrification,"Installation of 8 solar street lights at Panchberia, Kaliganj under MPLADS, Ward No. 18, Kaliganj block, Nadia district",22.49,2023,Ongoing,False,
MPLAD-2020-100813,MP_12,Hooghly,Chakdaha,Jaguli,Road,"Improvement and metalling of village approach road at Jaguli, Chakdaha under MPLADS, Ward No. 14, Chakdaha block, Hooghly district",6.89,2020,Sanctioned,False,
MPLAD-2019-100679,MP_39,Bankura,Karimpur-II,Muragachha,Water,"Installation of 4 deep tube wells with submersible pump at Muragachha under MPLADS, Ward No. 6, Karimpur-II block, Bankura district",4.34,2019,Sanctioned,False,
MPLAD-2020-101156,MP_04,Bardhaman,Karimpur-II,Bhatjangla,Road,"Improvement and metalling of village approach road at Bhatjangla, Karimpur-II under MPLADS, Ward No. 11, Karimpur-II block, Bardhaman district",24.51,2020,Completed,False,
MPLAD-2022-100591,MP_21,Jalpaiguri,Kaliganj,Subarnapur,Road,"Improvement and metalling of village approach road at Subarnapur, Kaliganj under MPLADS, Ward No. 5, Kaliganj block, Jalpaiguri district",2.96,2022,Completed,False,
MPLAD-2021-100415,MP_23,Birbhum,Chakdaha,Bhatjangla,Electrification,"Providing LED high mast lighting at Bhatjangla market area under MPLADS, Ward No. 15, Chakdaha block, Birbhum district",32.14,2021,Completed,False,
MPLAD-2025-100286,MP_20,Howrah,Chakdaha,Aistala,Community,"Renovation of crematorium boundary wall at Aistala under MPLADS, Ward No. 5, Chakdaha block, Howrah district",7.66,2025,Completed,False,
MPLAD-2021-100233,MP_17,Jalpaiguri,Nakashipara,Aistala,Community,"Construction of community hall with toilet block at Aistala under MPLADS, Ward No. 18, Nakashipara block, Jalpaiguri district",19.05,2021,Sanctioned,False,
MPLAD-2021-100842,MP_21,Nadia,Tehatta-I,Kalinagar,Health,"Supply of ambulance to Tehatta-I Rural Hospital under MPLADS under MPLADS, Ward No. 8, Tehatta-I block, Nadia district",4.16,2021,Ongoing,False,
MPLAD-2021-100247,MP_11,Murshidabad,Krishnanagar-II,Bhatjangla,Community,"Renovation of crematorium boundary wall at Bhatjangla under MPLADS, Ward No. 21, Krishnanagar-II block, Murshidabad district",39.2,2021,Ongoing,False,
MPLAD-2019-100427,MP_22,Birbhum,Tehatta-I,Kalinagar,Water,"Construction of overhead water reservoir of 2000 litre capacity at Kalinagar under MPLADS, Ward No. 23, Tehatta-I block, Birbhum district",25.99,2019,Completed,False,
MPLAD-2021-100254,MP_11,Murshidabad,Haringhata,Barasat,Electrification,"Providing LED high mast lighting at Barasat market area under MPLADS, Ward No. 2, Haringhata block, Murshidabad district",8.18,2021,Completed,False,
MPLAD-2022-100115,MP_39,Hooghly,Tehatta-I,Subarnapur,Community,"Construction of community hall with toilet block at Subarnapur under MPLADS, Ward No. 2, Tehatta-I block, Hooghly district",1.67,2022,Completed,False,
MPLAD-2022-100997,MP_30,Malda,Tehatta-I,Bhatjangla,Road,"Construction of 1743 m concrete road from Dhantala to Panchberia at Bhatjangla under MPLADS, Ward No. 2, Tehatta-I block, Malda district",15.28,2022,Ongoing,False,
MPLAD-2025-100244,MP_39,Jalpaiguri,Ranaghat-I,Dhantala,Electrification,"Installation of 5 solar street lights at Dhantala, Ranaghat-I under MPLADS, Ward No. 13, Ranaghat-I block, Jalpaiguri district",39.93,2025,Completed,False,
MPLAD-2024-100439,MP_24,Malda,Ranaghat-I,Muragachha,Sanitation,"Construction of 6 community sanitary complex at Muragachha under MPLADS, Ward No. 1, Ranaghat-I block, Malda district",27.98,2024,Completed,False,
MPLAD-2019-100231,MP_21,Purulia,Santipur,Bhatjangla,Sanitation,"Construction of 2 community sanitary complex at Bhatjangla under MPLADS, Ward No. 22, Santipur block, Purulia district",36.73,2019,Completed,False,
MPLAD-2023-100865,MP_35,Nadia,Hanskhali,Fatepur,Education,"Supply of benches and desks to Fatepur High School under MPLADS under MPLADS, Ward No. 16, Hanskhali block, Nadia district",29.13,2023,Completed,False,
MPLAD-2019-100630,MP_11,Murshidabad,Tehatta-I,Bahirgachi,Health,"Supply of ambulance to Tehatta-I Rural Hospital under MPLADS under MPLADS, Ward No. 18, Tehatta-I block, Murshidabad district",35.22,2019,Completed,False,
MPLAD-2025-100398,MP_33,Birbhum,Kaliganj,Jaguli,Water,"Construction of overhead water reservoir of 4000 litre capacity at Jaguli under MPLADS, Ward No. 14, Kaliganj block, Birbhum district",4.77,2025,Ongoing,False,
MPLAD-2022-100192,MP_17,Howrah,Kaliganj,Aistala,Electrification,"Installation of 8 solar street lights at Aistala, Kaliganj under MPLADS, Ward No. 22, Kaliganj block, Howrah district",6.65,2022,Ongoing,False,
MPLAD-2023-100410,MP_05,Birbhum,Karimpur-II,Mamjoan,Community,"Construction of community hall with toilet block at Mamjoan under MPLADS, Ward No. 1, Karimpur-II block, Birbhum district",10.93,2023,Completed,False,
MPLAD-2021-100240,MP_05,Malda,Ranaghat-I,Debagram,Irrigation,"Re-excavation of village pond for irrigation at Debagram under MPLADS, Ward No. 4, Ranaghat-I block, Malda district",11.87,2021,Completed,False,
MPLAD-2024-100572,MP_07,Purulia,Nakashipara,Fatepur,Education,"Construction of additional classroom block at Fatepur Primary School under MPLADS, Ward No. 2, Nakashipara block, Purulia district",28.13,2024,Completed,False,
MPLAD-2020-100722,MP_24,Jalpaiguri,Nakashipara,Dhantala,Sanitation,"Construction of 6 community sanitary complex at Dhantala under MPLADS, Ward No. 2, Nakashipara block, Jalpaiguri district",3.91,2020,Completed,False,
MPLAD-2021-100058,MP_26,Bardhaman,Kaliganj,Debagram,Electrification,"Providing LED high mast lighting at Debagram market area under MPLADS, Ward No. 2, Kaliganj block, Bardhaman district",29.78,2021,Completed,False,
MPLAD-DUP-200059,MP_21,Hooghly,Krishnanagar-II,Fatepur,Sanitation,"Building of 7 community sanitary complex at Fatepur under MPLADS, Ward No. 18, Krishnanagar-II block, Hooghly district",18.39,2024,Ongoing,True,MPLAD-2023-100557
MPLAD-2025-100720,MP_10,Bardhaman,Chakdaha,Fatepur,Road,"Improvement and metalling of village approach road at Fatepur, Chakdaha under MPLADS, Ward No. 5, Chakdaha block, Bardhaman district",44.95,2025,Completed,False,
MPLAD-2021-100597,MP_19,Jalpaiguri,Haringhata,Subarnapur,Electrification,"Providing LED high mast lighting at Subarnapur market area under MPLADS, Ward No. 19, Haringhata block, Jalpaiguri district",41.47,2021,Ongoing,False,
MPLAD-DUP-200070,MP_08,Birbhum,Kaliganj,Nokari,Health,"Procurement and supply of ambulance to Kaliganj Rural Hospital under MPLADS under MPLADS, Ward No. 18, Kaliganj block, Birbhum district",51.14,2023,Completed,True,MPLAD-2022-101032
MPLAD-2023-100613,MP_16,Nadia,Haringhata,Nokari,Water,"Construction of overhead water reservoir of 5000 litre capacity at Nokari under MPLADS, Ward No. 19, Haringhata block, Nadia district",20.85,2023,Completed,False,
MPLAD-2023-100844,MP_21,Bardhaman,Kaliganj,Fatepur,Sanitation,"Construction of 5 community sanitary complex at Fatepur under MPLADS, Ward No. 18, Kaliganj block, Bardhaman district",13.36,2023,Completed,False,
MPLAD-2021-100527,MP_22,Murshidabad,Tehatta-I,Bahirgachi,Education,"Supply of benches and desks to Bahirgachi High School under MPLADS under MPLADS, Ward No. 6, Tehatta-I block, Murshidabad district",34.21,2021,Completed,False,
MPLAD-2021-100989,MP_36,Purulia,Nakashipara,Panchberia,Health,"Construction of waiting shed at Panchberia Sub-Centre under MPLADS, Ward No. 6, Nakashipara block, Purulia district",14.94,2021,Sanctioned,False,
MPLAD-2019-100049,MP_10,Purulia,Krishnanagar-II,Kalinagar,Health,"Construction of waiting shed at Kalinagar Sub-Centre under MPLADS, Ward No. 24, Krishnanagar-II block, Purulia district",27.17,2019,Completed,False,
MPLAD-2021-100471,MP_13,Bankura,Karimpur-II,Barasat,Irrigation,"Re-excavation of village pond for irrigation at Barasat under MPLADS, Ward No. 4, Karimpur-II block, Bankura district",12.63,2021,Sanctioned,False,
MPLAD-2024-100467,MP_28,Hooghly,Hanskhali,Bhatjangla,Education,"Construction of additional classroom block at Bhatjangla Primary School under MPLADS, Ward No. 8, Hanskhali block, Hooghly district",32.13,2024,Ongoing,False,
MPLAD-2022-100535,MP_08,Malda,Chakdaha,Rautari,Road,"Improvement and metalling of village approach road at Rautari, Chakdaha under MPLADS, Ward No. 21, Chakdaha block, Malda district",5.19,2022,Completed,False,
